"Title","Company","Location","Created","Category","Description","URL","Latitude","Longitude"
"Assistant Manager / Manager – Radar Signal Processing (JDRSP01)","LT-Larsen & Toubro Limited","Bangalore, Karnataka","2025-07-01T20:33:45Z","IT Jobs","Qualification: BTech / MTech in Signal Processing / Communication Systems Job Profile Required to work on development and implementation of signal processing algorithms, firmware development for various interfaces in Radar. Should have hands-on experience in handling the Embedded Hardware and Firmware designs. Responsibilities : Algorithm development, simulation & implementation using Vivado / Matlab / Python. Radar Subsystem integration & testing. Embedded Hardware & Firmware development using…","https://www.adzuna.in/details/5277832071?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Sr Staff Engineer- Post Silicon System validation/Functional validation lead","Renesas","Hyderabad, Telangana","2025-07-12T10:46:12Z","Engineering Jobs","Sr Staff Engineer- Post Silicon System validation/Functional validation lead Job Description Seeking a technically strong and proactive Post-Silicon System Validation / Functional Validation Lead to drive the planning, execution, and debug of system-level validation of IP and SoC/MCU designs. This role is critical in verifying functional correctness, feature compliance, performance, and robustness of silicon devices across use cases, voltage/temperature corners, and real application conditions.…","https://www.adzuna.in/land/ad/5299205422?se=dL12H8Bn8BGmlq-E_wGoOg&utm_medium=api&utm_source=c8890522&v=3CFA6F465F3DE6A06AF4B277FEE7D84C7310B296","17.40275","78.50806"
"Firmware, Principal Technical Expert","Schneider Electric","India","2025-07-04T21:06:41Z","Engineering Jobs","Bachelor's or Master's degree in Electronics and Communication, Embedded system, Electrical /Electronics Engineering, or a related field. 8 to 14 years of experience in embedded systems firmware development, specifically with Linux-based platforms. Position Overview\: Schneider Electric - Secure Power is looking for a Firmware Developer knowledgeable in embedded product development. She/He will be owning the firmware of different range of three phase UPS products while working with other expert…","https://www.adzuna.in/details/5285181106?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Staff Engineer, SSD Firmware","Micron","India","2025-06-30T03:15:00Z","IT Jobs","Our vision is to transform how the world uses information to enrich life for all . Micron Technology is a world leader in innovating memory and storage solutions that accelerate the transformation of information into intelligence, inspiring the world to learn, communicate and advance faster than ever. Experience / Skills: In depth knowledge and extensive experience with embedded firmware development Expertise in the use of scripting languages, programming tools and environments Extensive experi…","https://www.adzuna.in/details/5275193453?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Lead Engineer 2 - Embedded SW Development","GE Vernova","Hyderabad, Telangana","2025-07-18T02:43:26Z","Engineering Jobs","Job Description Summary Lead Firmware Engineer will participate in embedded firmware development for the MarkVIe platforms. You will work in a global environment with a skilled cross functional team of engineers creating and improving state-of-the-art platform for use in every kind of power generation application. Job Description Essential Responsibilities • Understand high level system requirements to define the architecture and low-level design requirements and do the implementation. • Design…","https://www.adzuna.in/details/5309016052?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Firmware, Principal Technical Expert","Schneider Electric","India","2025-07-18T02:30:33Z","Engineering Jobs","Position Overview\: Schneider Electric - Secure Power is looking for a Firmware Developer knowledgeable in embedded product development. She/He will be owning the firmware of different range of three phase UPS products while working with other experts in the domain. As an Embedded developer, she/he will be responsible for designing, developing, and maintaining embedded software solutions based on the Linux operating system. Direct experience in product development is essential and background in…","https://www.adzuna.in/details/5308975060?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Senior Design Engineer - Electrical","Schneider Electric","India","2025-07-18T02:43:39Z","Engineering Jobs","Qualifications / Requirements ME / M. Tech\: Power Electronics ( Mandatory ) Minimum 5 Years ( After Masters Educations ) Post Education Experience in Power Conversion full time role Good oral & written communication in English. Self Organizing under challenging circumstances Good team player & able to manage diverse stakeholders The primary responsibility of the role includes (but is not limited to): The Senior Designer masters a strategic technology domain (Power Conversion) actively develops…","https://www.adzuna.in/details/5309016588?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Firmware Senior Principal Technical Expert","Schneider Electric","India","2025-07-12T02:42:08Z","Engineering Jobs","Job Description: Deep decarbonization of electricity generation together with the electrification of several end-use applications is necessary to address the climate crisis. Energy Storage Systems (ESS), such as batteries, are a key enabler for deep decarbonization to balance supply and demand. Schneider Electric’s Energy Storage Center of Excellence enables deep decarbonization through the development of innovative energy storage products that are battery technology-agnostic, scalable, cost-ef…","https://www.adzuna.in/details/5298597193?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Software Engineer, Embedded Backend","Bose Professional","Mangalore, Dakshin Kannada","2025-07-15T02:35:45Z","IT Jobs","Company Overview: Bose Professional is a leader in the professional audio industry, specializing in the design and manufacturing of cutting-edge audio solutions including loudspeakers, amplifiers, signal processing devices, controls, software, and accessories. As we continue to expand our team, we are seeking a ​Software Engineer, Embedded Backend​ to join us on our journey. We have organized ourselves culturally around a set of shared values. We are a team first, which means we are collaborati…","https://www.adzuna.in/details/5302580160?utm_medium=api&utm_source=c8890522","12.91448","75.18597"
"Sr. Firmware Engineer","Logitech","Chennai, Tamil Nadu","2025-06-27T23:44:25Z","IT Jobs","Logitech is the Sweet Spot for people who want their actions to have a positive global impact while having the flexibility to do it in their own way. The Role You will work in a central organisation developing common firmware and helping create these new and innovative experiences. You will be part of a transversal team that positively impacts the lives of millions of people and will collaborate with a high-calibre multidisciplinary international team redefining the future of Logitech. You will…","https://www.adzuna.in/land/ad/5271870029?se=lBY3J8Bn8BGEAq--mXje6A&utm_medium=api&utm_source=c8890522&v=D943E43285B393527586BF100C887D9228937342","13.06041","80.24963"
"Firmware Engineer","Resideo","India","2025-07-04T02:17:43Z","IT Jobs","Be part of a team that designs, develops and integrates embedded firmware for the latest in home automation IOT devices.you will be responsible to ensure highly efficient, reliable and predicatable wireless communication between different products, cloud and mobile App. You will use your experience and technical skills to design and implement features targeted for the North American and European residential markets. You will partner with world class engineers and leaders. Use your strategic thi…","https://www.adzuna.in/land/ad/5282461960?se=lBY3J8Bn8BGEAq--mXje6A&utm_medium=api&utm_source=c8890522&v=97B4A885C9C3163CB8A4350C4CED907C5F169A45","22.3511148","78.6677428"
"Electronics & Electrical Engineer","Edition","Bangalore, Karnataka","2025-07-20T07:58:51Z","Engineering Jobs"," Location: Bangalore • ⏱ Full-Time On-Site  About Edition As a core part of our hardware engineering team, you’ll create and integrate electrical architectures powering our smart home products—blending connectivity, reliability, and intelligence.  What You’ll Do Circuit Design & Firmware Integration: Design, prototype, and validate PCBs for IoT-enabled consumer devices Embedded Systems & Connectivity: Develop embedded firmware, select sensors, and integrate Wi-Fi/Bluetooth modules aligned with …","https://www.adzuna.in/details/5313131573?utm_medium=api&utm_source=c8890522","12.9881567","77.6226000"
"Technical Lead Embedded Control Firmware","SolarEdge","India","2025-07-22T18:40:25Z","Engineering Jobs","Are you ready to power the future? At SolarEdge (NASDAQ: SEDG), we're a global leader in smart energy technology, with over 4,000 employees, offices in 34 countries, and millions of installations worldwide. Our innovative solutions include solar inverters, battery storage, backup systems, EV charging, and AI-based energy management. We're committed to making clean, green energy the primary power source for homes, businesses, and beyond. With the growing demand for electricity, the need for smar…","https://www.adzuna.in/details/5316422957?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
