"Title","Company","Location","Created","Category","URL","Latitude","Longitude"
"Sr. Procurement Specialist, EPRM","Novartis","India","2025-07-13T02:31:45Z","IT Jobs","https://www.adzuna.in/details/5300205121?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"IT Procurement Specialist-Mumbai-Kurla","2coms","Kurla, Mumbai","2025-07-11T00:43:56Z","IT Jobs","https://www.adzuna.in/details/5296196822?utm_medium=api&utm_source=c8890522","19.0661","72.8767"
"Assistant Manager - Sourcing & Procurement Specialists","Genpact ","Chennai, Tamil Nadu","2025-06-28T03:07:58Z","Energy, Oil & Gas Jobs","https://www.adzuna.in/details/5272277421?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Procurement Specialist (French language Proficiency)","DuPont Specialty Products India","India","2025-06-27T03:12:53Z","Admin Jobs","https://www.adzuna.in/details/5270417448?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Specialist (Supply chain) - US","Trigent Software","India","2025-02-16T17:43:23Z","Retail Jobs","https://www.adzuna.in/details/5052146619?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"M53L0: Sourcing & Procurement Specialist-Senior","FedEx","Delhi, India","2025-07-10T08:36:18Z","Engineering Jobs","https://www.adzuna.in/details/5295122670?utm_medium=api&utm_source=c8890522","28.62523","77.224601"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Mumbai, Maharashtra","2025-07-11T04:05:56Z","IT Jobs","https://www.adzuna.in/land/ad/5296919899?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=531B18157C0C16257A0EE9DE7CC1932DBF7F8E4A","19.00821","72.84415"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Bangalore, Karnataka","2025-07-09T04:02:57Z","IT Jobs","https://www.adzuna.in/land/ad/5292690727?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=7D8E1BCE28D90927AD4496F05E8900ED9DE6C787","12.9767936","77.5900820"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Hyderabad, Telangana","2025-07-11T04:05:56Z","IT Jobs","https://www.adzuna.in/land/ad/5296919904?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=F419C555144787651A759B5C5E8655F6ADB539AD","17.40275","78.50806"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Pune, Maharashtra","2025-07-11T04:05:56Z","IT Jobs","https://www.adzuna.in/land/ad/5296919902?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=25BB9042D6A4F809192370BA368F345FD80FD0EC","18.5062","73.84735"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Kolkata, West Bengal","2025-07-10T04:14:09Z","IT Jobs","https://www.adzuna.in/land/ad/5294881134?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=7EB56A6705D6F07D6CB7AB0079F6191545CE00D8","22.57285","88.34373"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Chennai, Tamil Nadu","2025-07-11T04:05:56Z","IT Jobs","https://www.adzuna.in/land/ad/5296919897?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=37B24A0D8E612DA0AAAD12E7B4D9D42D0ABE37FD","13.06041","80.24963"
"Strategic Sourcing Specialist, Global Corporate Procurement","Amazon","Bangalore, Karnataka","2025-05-24T23:20:42Z","Retail Jobs","https://www.adzuna.in/land/ad/5214688683?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=0FBC16AE0C23FFB6E14AA9C7E1DF8035476FF7E2","12.95703","77.59837"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","Noida, Ghaziabad","2025-07-11T04:05:56Z","IT Jobs","https://www.adzuna.in/land/ad/5296919901?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=CED68C6D1B2E355578D3F5BE2113FD86412A68CC","28.56579","77.3225"
"Oracle Procurement, Inventory and Costing Functional Specialist","Oracle","India","2025-07-15T10:38:13Z","IT Jobs","https://www.adzuna.in/land/ad/5303171990?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=7ECD85CF3A5A1BD027B6074DADBD6687C23DD0A8","22.3511148","78.6677428"
"Sr. Procurement Specialist (Purchasing) [T500-18772]","ANSR","Hyderabad, Telangana","2025-06-25T10:03:40Z","Accounting & Finance Jobs","https://www.adzuna.in/details/5266675996?utm_medium=api&utm_source=c8890522","17.40275","78.50806"
"Cement Plant- Detailed Design, Engineering, Procurement Specialists","The Search House","Gurgaon, Haryana","2025-04-01T01:39:24Z","Engineering Jobs","https://www.adzuna.in/details/5120362166?utm_medium=api&utm_source=c8890522","28.323996","76.983738"
"Procurement Specialist 3 PM 12 AM IST","Gerson Lehrman Group","Haryana, India","2025-06-18T20:24:25Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5256448396?utm_medium=api&utm_source=c8890522","29.215022","76.542624"
"Civil Design, Engineering, Procurement Specialists - Cement Consulting","The Search House","India","2025-04-01T01:32:58Z","Engineering Jobs","https://www.adzuna.in/details/5120360864?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement Planning Specialist","Tata Electronics","India","2025-06-28T07:00:31Z","Retail Jobs","https://www.adzuna.in/details/5272408814?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Procurement & Pricing Specialist","Atlantic Gate","India","2025-07-14T09:36:29Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5301593208?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Lead Supplier Quality Engineer","GE Vernova","Vadodara, Gujarat","2025-07-13T10:38:13Z","Engineering Jobs","https://www.adzuna.in/land/ad/5300567705?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=80E90242D2EB6938028CF6F028E6760FE7321AB1","22.2891","73.1924"
"Specialist - Procurement","Collabera","India","2025-04-15T01:36:47Z","Retail Jobs","https://www.adzuna.in/details/5144684532?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Specialist Procurement","Kellogg Brown & Root Engineering & Construction India","India","2025-07-07T21:29:38Z","Energy, Oil & Gas Jobs","https://www.adzuna.in/details/5290384444?utm_medium=api&utm_source=c8890522","22.3511148","78.6677428"
"Specialist – Procurement","Flex","Chennai, Tamil Nadu","2025-07-18T02:38:09Z","Admin Jobs","https://www.adzuna.in/details/5308990583?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Specialist - Procurement","Flex","Chennai, Tamil Nadu","2025-07-15T02:37:22Z","Logistics & Warehouse Jobs","https://www.adzuna.in/details/5302583759?utm_medium=api&utm_source=c8890522","13.06041","80.24963"
"Sr/Staff Sourcing Specialist","Qualcomm","Bangalore, Karnataka","2025-06-12T23:49:06Z","Logistics & Warehouse Jobs","https://www.adzuna.in/land/ad/5247002242?se=Xs3XWpZk8BGhwN6tA21z6g&utm_medium=api&utm_source=c8890522&v=0826E669C9E434EF5447E5C9B4D2081B763F8560","12.95703","77.59837"
